ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,enterprise_to_ebitda,gross_margin,operating_margin,profit_margin,roe,revenue_growth,earnings_growth,free_cash_flow,operating_cash_flow,total_cash,total_debt,debt_to_equity,dividend_yield,scheme,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,years,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,rank_score
PWR,2016-07-18,2026-07-15,9.990417522245037,True,24.76753584309346,0.384339574347204,0.33890753510523464,-0.4553341255158031,-0.1735785861397373,1.0728403905968311,1.5162782757273776,WATCHLIST_1,97365024768.0,90.873955,39.390816,10.764841,2.04,38.892,0.15100001,0.04244,0.036679998,0.13534,0.263,0.51,1037176768.0,2378515968.0,364760992.0,6319672832.0,69.121,0.07,STOCK_C_25_35_45_60,11.0,0.3968432914729789,0.9090909090909091,0.8332753713818747,0.9090909090909091,-0.12579878766987865,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.6,0.21553624340391025,0.1397732209620574,42.02619166841886
STX,2016-07-18,2026-07-15,9.990417522245037,True,40.649602520299815,0.4525009791390908,0.4218115404887792,-0.569918392464988,-0.24235807543331334,1.0513790269201444,1.4518599070502318,WATCHLIST_2,185728876544.0,83.32998,29.083597,169.7336,0.63,53.717,0.41571,0.35668,0.21599,17.8797,0.441,1.083,1610000000.0,2876999936.0,1146000000.0,4177999872.0,381.553,0.34,STOCK_C_25_35_45_60,23.0,0.5060734022488841,0.782608695652174,1.0259821644938867,0.8260869565217391,-0.19099988582960925,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.5,0.4647888556457264,0.3890258332038735,41.74587637314836
DELL,2016-08-17,2026-07-15,9.908281998631075,True,36.58287888349426,0.4419723260264623,0.44288515445454757,-0.5958774223022354,-0.11434457841094159,1.002048301428605,1.3981687316471363,WATCHLIST_1,266650042368.0,36.48806,19.197838,-190.79056,0.71,20.462,0.19212,0.088570006,0.062750004,,0.875,2.825,5434124800.0,12469999616.0,11580999680.0,31924000768.0,,0.55,STOCK_B_20_30_40_55,16.0,0.26630533723350014,0.625,0.4683902511377045,0.625,-0.20005900051661607,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.3618262421476032,0.2860632197057503,41.71470016289514
LIN,2016-07-18,2026-07-15,9.990417522245037,True,4.126906756273665,0.17775139923248617,0.22838795174654294,-0.3258505283246156,-0.059435806680325776,0.7449248551312796,1.0509185667355958,WATCHLIST_2,237715865600.0,34.599598,26.085745,6.167235,2.24,19.259,0.48766,0.28471002,0.20436001,0.18229,0.082,0.134,4694499840.0,10428999680.0,3959000064.0,26317000704.0,65.642,1.22,STOCK_C_25_35_45_60,1.0,0.5782220020135043,1.0,0.7273794401193343,1.0,-0.05075306110616229,WATCH_SAMPLE_LOW,10.0,0.8,0.6,0.03019178457453766,-0.04557123786731523,40.093391148470346
TSM,2016-07-18,2026-07-15,9.990417522245037,True,18.089483509818145,0.3433904831821408,0.34587584056061066,-0.5646657359523592,-0.12163660918189478,0.9708154486135225,1.4633597024784393,ACTIVE_10,2175622184960.0,36.50827,20.67296,94.92151,1.36,5.307,0.61873,0.58105,0.46505,0.3621,0.351,0.584,719158444032.0,2348378226688.0,3383596154880.0,1094369804288.0,18.447,0.9,STOCK_C_25_35_45_60,6.0,0.3499776681691804,0.5,0.7675107168276902,0.6666666666666666,-0.18387096281310286,WATCH,10.0,0.8,0.6,0.24406506210184728,0.1683020396599944,37.861695894627246
AAPL,2016-07-18,2026-07-15,9.990417522245037,True,13.410638997145472,0.30610911692442944,0.2907184500146329,-0.38515929605470034,0.0,0.9977632584408282,1.3738207871314294,WATCHLIST_2,4810109091840.0,38.170162,34.04044,45.11019,2.55,30.169,0.47862,0.32275,0.27152002,1.4147099,0.166,0.218,101090746368.0,140222005248.0,68507000832.0,84710998016.0,79.548,0.34,STOCK_B_20_30_40_55,15.0,0.2598377492155088,0.8,0.4538421312607999,0.9333333333333333,-0.09587049684560726,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.17473509614802601,0.09897207370617314,37.56263602976716
GOOGL,2016-07-18,2026-07-15,9.990417522245037,True,8.936512244761982,0.25840098219587815,0.29229011917427694,-0.44320058535941875,-0.078184009209736,0.8663365375337648,1.207117452301902,ACTIVE_10,4526178304000.0,27.394388,25.421082,9.3870535,1.41,27.667,0.60368,0.36121,0.37919,0.38884997,0.218,0.82,27921750016.0,174353006592.0,126839996416.0,95875997696.0,20.026,0.24,STOCK_C_25_35_45_60,6.0,0.2627498177706537,0.8333333333333334,0.41050446621455894,1.0,-0.08937957602866713,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.6,0.13904363148845694,0.06328060904660404,37.0689361963576
BTC-USD,2016-07-16,2026-07-16,9.998631074606434,True,96.7039649059898,0.5813152635372121,0.5548538617850347,-0.8339900882218974,-0.48249900866239936,0.8133300277149311,1.0982285090275157,ACTIVE_10,1295193997312.0,,,,,,,,,,,,,,,,,,STOCK_C_25_35_45_60,31.0,0.43908137659819435,0.6129032258064516,0.8853818779866351,0.5483870967741935,-0.20441189871683535,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.6,1.7727089033986236,1.6969458809567706,35.55143580751138
MRVL,2016-07-18,2026-07-15,9.990417522245037,True,21.016766106201626,0.36271220404180515,0.526538345622169,-0.6187945674157804,-0.3480046875327084,0.8113766952307366,1.2025741988468943,ACTIVE_10,185127518208.0,70.87972,33.27096,9.914439,1.33,67.061,0.51502997,0.14479999,0.28986,0.16028,0.276,-0.804,2269700096.0,2056400000.0,3843599872.0,5277199872.0,28.97,0.11,STOCK_C_25_35_45_60,25.0,0.22532836202703302,0.64,0.30699796690467457,0.52,-0.19586395632679587,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.3168174931302405,0.24105447068838762,34.92995406063197
COST,2016-07-18,2026-07-15,9.990417522245037,True,5.484098854867109,0.20576544231107685,0.2199401262032599,-0.31402427582205206,-0.16245702992491973,0.8726457664242813,1.1396551766872374,WATCHLIST_1,406466068480.0,46.289898,40.471542,24.586618,4.47,29.357,0.12876001,0.036730003,0.0301,0.29152,0.215,0.455,6954375168.0,15000000512.0,11125999616.0,10227999744.0,60.257,0.64,STOCK_B_20_30_40_55,4.0,0.23961445665881592,1.0,0.28636838582154817,0.75,-0.019428139323535543,WATCH_SAMPLE_LOW,10.0,0.7,0.5,0.0766226601199776,0.0008596376781247139,33.51634319343915
