ticker,engine,scheme,layer,threshold,date,close,reference_high,drawdown,ma25,ma25_slope_5d,vol5,vol60,volume_ok,shrink_ok,price_near_ma25,filter,filter_pass,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2015-01-20,2.240000009536743,4.659999847412109,-51.93%,2.5840000438690187,-0.55%,26509400.0,13843825.0,True,False,False,D_ONLY,True,36.61%,4.91%,-19.64%,-19.64%,-27.68%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2015-01-20,2.240000009536743,4.659999847412109,-51.93%,2.5840000438690187,-0.55%,26509400.0,13843825.0,True,False,False,D_MA25,False,36.61%,4.91%,-19.64%,-19.64%,-27.68%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2015-01-20,2.240000009536743,4.659999847412109,-51.93%,2.5840000438690187,-0.55%,26509400.0,13843825.0,True,False,False,D_VOLUME,True,36.61%,4.91%,-19.64%,-19.64%,-27.68%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2015-01-20,2.240000009536743,4.659999847412109,-51.93%,2.5840000438690187,-0.55%,26509400.0,13843825.0,True,False,False,D_2560,False,36.61%,4.91%,-19.64%,-19.64%,-27.68%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-09-08,6.230000019073486,7.670000076293945,-18.77%,7.071999969482422,1.37%,42870840.0,32411683.333333332,True,False,False,D_ONLY,True,8.35%,53.45%,123.27%,96.63%,-7.87%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-09-08,6.230000019073486,7.670000076293945,-18.77%,7.071999969482422,1.37%,42870840.0,32411683.333333332,True,False,False,D_MA25,True,8.35%,53.45%,123.27%,96.63%,-7.87%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-09-08,6.230000019073486,7.670000076293945,-18.77%,7.071999969482422,1.37%,42870840.0,32411683.333333332,True,False,False,D_VOLUME,True,8.35%,53.45%,123.27%,96.63%,-7.87%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-09-08,6.230000019073486,7.670000076293945,-18.77%,7.071999969482422,1.37%,42870840.0,32411683.333333332,True,False,False,D_2560,False,8.35%,53.45%,123.27%,96.63%,-7.87%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2016-09-13,5.739999771118164,7.670000076293945,-25.16%,6.984799976348877,-0.95%,89639700.0,35561846.666666664,True,False,False,D_ONLY,True,15.33%,86.06%,143.55%,112.89%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2016-09-13,5.739999771118164,7.670000076293945,-25.16%,6.984799976348877,-0.95%,89639700.0,35561846.666666664,True,False,False,D_MA25,False,15.33%,86.06%,143.55%,112.89%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2016-09-13,5.739999771118164,7.670000076293945,-25.16%,6.984799976348877,-0.95%,89639700.0,35561846.666666664,True,False,False,D_VOLUME,True,15.33%,86.06%,143.55%,112.89%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2016-09-13,5.739999771118164,7.670000076293945,-25.16%,6.984799976348877,-0.95%,89639700.0,35561846.666666664,True,False,False,D_2560,False,15.33%,86.06%,143.55%,112.89%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-11-10,6.300000190734863,7.670000076293945,-17.86%,6.850000019073486,-0.47%,43434480.0,42227133.333333336,True,False,False,D_ONLY,True,69.52%,114.13%,81.27%,78.73%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-11-10,6.300000190734863,7.670000076293945,-17.86%,6.850000019073486,-0.47%,43434480.0,42227133.333333336,True,False,False,D_MA25,True,69.52%,114.13%,81.27%,78.73%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-11-10,6.300000190734863,7.670000076293945,-17.86%,6.850000019073486,-0.47%,43434480.0,42227133.333333336,True,False,False,D_VOLUME,True,69.52%,114.13%,81.27%,78.73%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2016-11-10,6.300000190734863,7.670000076293945,-17.86%,6.850000019073486,-0.47%,43434480.0,42227133.333333336,True,False,False,D_2560,False,69.52%,114.13%,81.27%,78.73%,0.00%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-01-17,9.819999694824219,12.069999694824219,-18.64%,11.12,2.67%,50538400.0,51182270.0,False,False,False,D_ONLY,True,35.44%,31.87%,37.27%,24.03%,-0.71%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-01-17,9.819999694824219,12.069999694824219,-18.64%,11.12,2.67%,50538400.0,51182270.0,False,False,False,D_MA25,True,35.44%,31.87%,37.27%,24.03%,-0.71%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-01-17,9.819999694824219,12.069999694824219,-18.64%,11.12,2.67%,50538400.0,51182270.0,False,False,False,D_VOLUME,False,35.44%,31.87%,37.27%,24.03%,-0.71%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-01-17,9.819999694824219,12.069999694824219,-18.64%,11.12,2.67%,50538400.0,51182270.0,False,False,False,D_2560,False,35.44%,31.87%,37.27%,24.03%,-0.71%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-04-12,12.760000228881836,15.199999809265137,-16.05%,13.798800010681152,-0.14%,70884220.0,70754818.33333333,True,True,False,D_ONLY,True,-11.76%,6.03%,8.78%,-22.18%,-25.31%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-04-12,12.760000228881836,15.199999809265137,-16.05%,13.798800010681152,-0.14%,70884220.0,70754818.33333333,True,True,False,D_MA25,True,-11.76%,6.03%,8.78%,-22.18%,-25.31%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-04-12,12.760000228881836,15.199999809265137,-16.05%,13.798800010681152,-0.14%,70884220.0,70754818.33333333,True,True,False,D_VOLUME,True,-11.76%,6.03%,8.78%,-22.18%,-25.31%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2017-04-12,12.760000228881836,15.199999809265137,-16.05%,13.798800010681152,-0.14%,70884220.0,70754818.33333333,True,True,False,D_2560,False,-11.76%,6.03%,8.78%,-22.18%,-25.31%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2017-05-02,10.319999694824219,15.199999809265137,-32.11%,13.304400062561035,-1.43%,90944180.0,70717478.33333333,True,False,False,D_ONLY,True,5.91%,32.85%,5.52%,6.30%,-7.66%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2017-05-02,10.319999694824219,15.199999809265137,-32.11%,13.304400062561035,-1.43%,90944180.0,70717478.33333333,True,False,False,D_MA25,False,5.91%,32.85%,5.52%,6.30%,-7.66%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2017-05-02,10.319999694824219,15.199999809265137,-32.11%,13.304400062561035,-1.43%,90944180.0,70717478.33333333,True,False,False,D_VOLUME,True,5.91%,32.85%,5.52%,6.30%,-7.66%
