ticker,signal,date,close,drawdown_60,drawdown_252,above_ma50,above_ma200,ret_3d_before,ret_5d_before,vol_20,vol_60,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,max_adverse_60d
GOOGL,B_趨勢回踩型,2015-11-13,36.67826461791992,-3.29%,-3.29%,True,True,-2.40%,-2.83%,27.65%,32.00%,4.99%,3.08%,3.04%,7.28%,-4.55%,-5.28%
GOOGL,B_趨勢回踩型,2015-12-10,37.66798782348633,-3.03%,-3.03%,True,True,-1.68%,-1.06%,21.37%,23.38%,1.29%,0.76%,-3.55%,-3.45%,-4.56%,-7.77%
GOOGL,B_趨勢回踩型,2016-01-04,37.63825225830078,-4.35%,-4.35%,False,True,-4.35%,-0.84%,21.35%,22.65%,-3.47%,-5.31%,2.83%,-3.62%,0.46%,-7.69%
GOOGL,B_趨勢回踩型,2016-01-20,35.612220764160156,-9.50%,-9.50%,False,True,-1.75%,-3.59%,25.77%,24.41%,-0.14%,4.29%,-0.15%,1.81%,8.55%,-2.44%
GOOGL,A_回撤反彈型,2016-01-21,36.014156341552734,-8.48%,-8.48%,False,True,2.28%,0.99%,26.10%,21.67%,2.98%,0.46%,-0.63%,0.49%,8.40%,-3.53%
GOOGL,B_趨勢回踩型,2016-02-04,36.18068313598633,-8.05%,-8.05%,False,True,-5.29%,-2.44%,35.91%,26.38%,-3.24%,-1.08%,0.03%,3.48%,-2.14%,-3.97%
GOOGL,A_回撤反彈型,2016-02-12,35.033851623535156,-10.97%,-10.97%,False,True,0.84%,0.44%,33.77%,26.69%,3.13%,1.46%,6.13%,8.35%,4.60%,-0.26%
GOOGL,B_趨勢回踩型,2016-02-22,36.132110595703125,-8.18%,-8.18%,False,True,-0.40%,3.13%,32.62%,26.89%,-1.62%,-2.23%,4.54%,4.05%,-1.22%,-3.29%
GOOGL,B_趨勢回踩型,2016-03-08,35.36293029785156,-10.13%,-10.13%,False,True,-2.47%,-3.86%,22.16%,27.46%,5.19%,6.52%,7.64%,8.60%,4.31%,-1.19%
GOOGL,B_趨勢回踩型,2016-03-23,37.54507827758789,-4.58%,-4.58%,True,True,0.28%,0.03%,19.85%,27.14%,0.70%,0.34%,2.96%,-5.66%,-7.04%,-6.93%
GOOGL,B_趨勢回踩型,2016-04-22,36.56427764892578,-6.34%,-7.08%,False,True,-4.96%,-5.41%,23.88%,25.31%,-4.05%,-1.71%,-2.18%,-1.05%,2.12%,-7.68%
GOOGL,B_趨勢回踩型,2016-05-09,36.13607406616211,-7.43%,-8.17%,False,True,2.50%,2.06%,25.77%,21.08%,0.16%,-1.63%,0.27%,-2.78%,9.57%,-6.58%
GOOGL,B_趨勢回踩型,2016-05-24,36.32936477661133,-6.94%,-7.67%,False,True,2.48%,1.78%,17.47%,20.68%,2.10%,1.35%,-3.08%,-3.52%,9.51%,-7.08%
GOOGL,B_趨勢回踩型,2016-06-09,36.799686431884766,-5.73%,-6.48%,True,True,1.71%,-0.24%,15.02%,18.65%,-2.46%,-3.72%,-3.33%,2.26%,7.32%,-8.27%
GOOGL,B_趨勢回踩型,2016-07-14,36.466644287109375,-5.67%,-7.33%,True,True,1.18%,4.04%,22.52%,21.22%,2.53%,4.08%,9.84%,7.54%,8.82%,-0.02%
GOOGL,B_趨勢回踩型,2016-10-31,40.13907241821289,-3.09%,-3.09%,True,True,-1.48%,-3.09%,13.50%,12.09%,-0.97%,-7.00%,-2.53%,0.67%,4.34%,-7.00%
GOOGL,B_趨勢回踩型,2016-11-15,38.41734313964844,-7.25%,-7.25%,False,True,-0.66%,-4.53%,24.32%,17.66%,1.27%,0.09%,5.51%,3.58%,8.23%,-1.40%
GOOGL,B_趨勢回踩型,2016-12-01,37.8806037902832,-8.54%,-8.54%,False,True,-2.73%,-1.88%,24.53%,18.49%,4.03%,6.71%,3.68%,8.26%,12.09%,0.00%
GOOGL,B_趨勢回踩型,2016-12-16,40.136104583740234,-3.10%,-3.10%,True,True,-0.67%,0.05%,16.77%,18.60%,-0.25%,-0.23%,2.37%,0.67%,7.43%,-2.15%
