ticker,group,pattern,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,return_pct,pnl_usd_100
MA,支付金融,RUSH_VOLUME,2024-04-08,2024-04-09,472.53657383516514,2024-04-11,462.06219482421875,structure_or_atr_stop,2,-0.02216628212697913,-2.216628212697913
MA,支付金融,RUSH_VOLUME,2024-07-22,2024-07-23,443.61280856113655,2024-07-24,427.31268310546875,structure_or_atr_stop,1,-0.03674403700952067,-3.674403700952067
MA,支付金融,BUILT_VOLUME,2024-08-06,2024-08-07,446.0682550624436,2024-09-19,487.1533203125,expired_30d,30,0.09210488481029677,9.210488481029678
MA,支付金融,BUILT_VOLUME,2024-09-27,2024-09-30,486.9097821511895,2024-10-31,494.3114318847656,structure_or_atr_stop,23,0.015201275482442211,1.5201275482442211
MA,支付金融,BUILT_VOLUME,2024-11-01,2024-11-04,504.7681248596193,2024-11-20,507.1246032714844,structure_or_atr_stop,12,0.004668437438517747,0.46684374385177474
MA,支付金融,BUILT_VOLUME,2024-11-25,2024-11-26,523.3669955321484,2025-01-06,506.52105712890625,structure_or_atr_stop,26,-0.032187620822580865,-3.2187620822580865
MA,支付金融,BUILT_VOLUME,2025-08-04,2025-08-05,567.2046417218024,2025-09-17,594.9227294921875,expired_30d,30,0.04886787894796529,4.886787894796529
V,支付金融,VOLUME_PIT,2017-03-28,2017-03-29,83.57995565320475,2017-04-21,85.4377670288086,structure_or_atr_stop,16,0.022227953593471517,2.2227953593471517
V,支付金融,BUILT_VOLUME,2017-06-19,2017-06-20,89.18531264041374,2017-07-03,87.6551284790039,structure_or_atr_stop,9,-0.017157356027660997,-1.7157356027660997
V,支付金融,VOLUME_PIT,2017-10-02,2017-10-03,99.56325453727106,2017-10-19,100.65302276611328,structure_or_atr_stop,12,0.010945486202786459,1.0945486202786459
V,支付金融,VOLUME_PIT,2017-11-24,2017-11-27,105.73443227792016,2017-11-29,103.50714111328125,structure_or_atr_stop,2,-0.021064956009642533,-2.1064956009642533
V,支付金融,BUILT_VOLUME,2017-11-30,2017-12-01,106.09319392112754,2017-12-01,104.32685089111328,structure_or_atr_stop,0,-0.016648975911945918,-1.6648975911945918
V,支付金融,BUILT_VOLUME,2017-12-12,2017-12-13,107.38651687698058,2018-01-29,117.62088012695312,expired_30d,30,0.09530398738695278,9.530398738695279
V,支付金融,BUILT_VOLUME,2018-02-15,2018-02-16,115.02562168275432,2018-03-22,113.24818420410156,structure_or_atr_stop,23,-0.015452535293006386,-1.5452535293006386
V,支付金融,BUILT_VOLUME,2018-06-22,2018-06-25,127.78956528122858,2018-06-25,123.7720718383789,structure_or_atr_stop,0,-0.03143835284209873,-3.1438352842098727
V,支付金融,BUILT_VOLUME,2018-08-07,2018-08-08,132.59195536010418,2018-09-05,135.07298278808594,structure_or_atr_stop,19,0.01871174930065389,1.871174930065389
V,支付金融,RUSH_VOLUME,2019-05-16,2019-05-17,155.69220621406703,2019-06-03,150.91860961914062,structure_or_atr_stop,10,-0.030660472421869422,-3.0660472421869422
V,支付金融,BUILT_VOLUME,2019-08-08,2019-08-09,171.3100926909785,2019-08-14,165.1064453125,structure_or_atr_stop,3,-0.036212970765646,-3.6212970765646
V,支付金融,BUILT_VOLUME,2019-10-30,2019-10-31,171.15619216259083,2019-12-13,176.7229461669922,expired_30d,30,0.03252440904453624,3.252440904453624
V,支付金融,BUILT_VOLUME,2020-02-04,2020-02-05,196.54963594978568,2020-02-24,190.02716064453125,structure_or_atr_stop,12,-0.033184876042816946,-3.3184876042816946
V,支付金融,BUILT_VOLUME,2020-08-06,2020-08-07,189.5747384933684,2020-09-08,191.90855407714844,structure_or_atr_stop,21,0.012310794161331184,1.2310794161331184
V,支付金融,BUILT_VOLUME,2020-09-14,2020-09-15,198.66300925400725,2020-09-21,189.3480682373047,structure_or_atr_stop,4,-0.046888150198070466,-4.688815019807047
V,支付金融,BUILT_VOLUME,2020-12-08,2020-12-09,205.19820163675342,2020-12-10,199.39122009277344,structure_or_atr_stop,1,-0.028299378345720827,-2.8299378345720827
V,支付金融,BUILT_VOLUME,2020-12-17,2020-12-18,203.07156723815396,2020-12-22,197.69125366210938,structure_or_atr_stop,2,-0.026494667122624715,-2.6494667122624715
V,支付金融,RUSH_VOLUME,2021-03-09,2021-03-10,212.73588573176792,2021-03-19,199.01779174804688,structure_or_atr_stop,7,-0.06448415572452015,-6.448415572452015
V,支付金融,BUILT_VOLUME,2021-06-21,2021-06-22,226.1526867860292,2021-07-19,231.58706665039062,structure_or_atr_stop,18,0.02402969401598609,2.402969401598609
V,支付金融,BUILT_VOLUME,2022-08-04,2022-08-05,204.74099240427796,2022-08-22,202.65420532226562,structure_or_atr_stop,11,-0.010192326692896936,-1.0192326692896936
V,支付金融,RUSH_VOLUME,2023-03-31,2023-04-03,220.1576714437802,2023-05-03,220.4499053955078,structure_or_atr_stop,21,0.0013273848229369278,0.13273848229369278
V,支付金融,VOLUME_PIT,2023-05-09,2023-05-10,229.0234253769837,2023-05-23,219.5112762451172,structure_or_atr_stop,9,-0.04153352049559589,-4.153352049559588
V,支付金融,BUILT_VOLUME,2023-08-01,2023-08-02,233.71064895962908,2023-09-14,236.4932861328125,structure_or_atr_stop,30,0.011906334544747654,1.1906334544747654
V,支付金融,BUILT_VOLUME,2023-11-01,2023-11-02,235.40612087519645,2023-12-15,253.21853637695312,expired_30d,30,0.07566674747255253,7.566674747255253
V,支付金融,BUILT_VOLUME,2023-12-18,2023-12-19,254.2952711754555,2024-02-02,272.01141357421875,expired_30d,30,0.0696676045797946,6.9667604579794595
V,支付金融,RUSH_VOLUME,2024-03-13,2024-03-14,284.6687197044408,2024-03-15,278.2800598144531,structure_or_atr_stop,1,-0.022442437288581307,-2.2442437288581307
V,支付金融,BUILT_VOLUME,2024-03-18,2024-03-19,282.4029189753359,2024-03-22,278.4964294433594,structure_or_atr_stop,3,-0.013833035246769931,-1.3833035246769931
V,支付金融,BUILT_VOLUME,2024-12-19,2024-12-20,310.6951631642252,2025-01-07,308.1961669921875,structure_or_atr_stop,10,-0.008043241312761684,-0.8043241312761684
V,支付金融,BUILT_VOLUME,2025-01-16,2025-01-17,314.5891429551198,2025-03-04,348.89019775390625,expired_30d,30,0.10903445197306105,10.903445197306105
V,支付金融,BUILT_VOLUME,2025-03-05,2025-03-06,343.36500838406016,2025-03-06,340.896728515625,structure_or_atr_stop,0,-0.007188501472678688,-0.7188501472678688
V,支付金融,BUILT_VOLUME,2026-06-23,2026-06-24,329.658,2026-07-14,356.0199890136719,end_of_test,13,0.07996769079977395,7.996769079977395
PWR,電力基礎建設,BUILT_VOLUME,2017-02-24,2017-02-27,37.109435106026346,2017-03-21,35.211551666259766,structure_or_atr_stop,16,-0.051142881435518706,-5.114288143551871
PWR,電力基礎建設,RUSH_VOLUME,2017-07-06,2017-07-07,32.20671287682346,2017-08-04,35.790069580078125,structure_or_atr_stop,20,0.11126117455573414,11.126117455573414
PWR,電力基礎建設,BUILT_VOLUME,2017-12-20,2017-12-21,37.934749748145705,2018-01-09,37.8884391784668,structure_or_atr_stop,11,-0.0012207954444505287,-0.12207954444505287
PWR,電力基礎建設,BUILT_VOLUME,2018-03-21,2018-03-22,34.78089175344536,2018-03-22,33.72111129760742,structure_or_atr_stop,0,-0.030470192177662003,-3.0470192177662003
PWR,電力基礎建設,BUILT_VOLUME,2018-08-08,2018-08-09,34.240498518484884,2018-08-16,32.53464889526367,structure_or_atr_stop,5,-0.049819649159030255,-4.981964915903026
PWR,電力基礎建設,BUILT_VOLUME,2018-08-21,2018-08-22,33.87696915285731,2018-09-21,33.80935287475586,structure_or_atr_stop,21,-0.0019959364663456602,-0.19959364663456602
