target_pct,atr_stop_multiple,max_hold_days,trades,win_rate,average_return,median_return,total_pnl_usd_100,profit_factor
0.2,2.0,15,761,0.44940867279894875,0.0036410609712310845,-0.007765701041671735,277.0847399106855,1.1495514671828755
0.25,1.0,45,782,0.3567774936061381,0.0034395375216767212,-0.017875679051194582,268.9718341951196,1.1489235718398223
0.1,1.5,30,764,0.40575916230366493,0.0038039959909823306,-0.01486520217053472,290.62529371105006,1.1482212755059091
0.15,1.5,30,761,0.39816031537450725,0.0038038041150224755,-0.0159095306146102,289.46949315321035,1.1477346659514192
0.15,1.5,45,755,0.39867549668874175,0.003802875021422178,-0.01646600781106977,287.11706411737447,1.1469813584738302
0.25,2.0,15,761,0.4480946123521682,0.0034749383047299165,-0.007998806709957118,264.44280498994664,1.1424336531369126
0.15,2.0,15,762,0.45144356955380577,0.003465976667568786,-0.007049467937793985,264.10742206874147,1.14179453794075
0.15,1.5,20,771,0.4176394293125811,0.0034403567055156315,-0.012823359438604465,265.2515019952552,1.137732823500809
0.1,2.5,20,759,0.4598155467720685,0.0035037201895392286,-0.006643981438134494,265.9323623860275,1.1352483808928775
0.1,2.5,15,763,0.4692005242463958,0.0031561604345563994,-0.004572203211773318,240.81504115665328,1.1294019531460504
